;p_val;avg_logFC;clus6.mean;clus2.mean
Spin1;0.015706943;-0.171452793;0.105676359;0.277129152
Esyt1;0.016447974;0.166460757;0.267490134;0.101029377
Lst1;0.016510959;0.252605833;0.570545327;0.317939494
Pnp;0.016536087;0.177047802;0.299915524;0.122867722
Rab5a;0.016933142;0.153110663;0.20919688;0.056086217
Naa20;0.017011563;0.140016461;0.195787377;0.055770916
Aak1;0.017068218;0.170985515;0.225869679;0.054884164
Kdm5b;0.017596015;-0.225332346;0.224976067;0.450308413
Atg3;0.017606161;0.159848736;0.250177322;0.090328587
Mpc1;0.017690331;0.237507846;0.578668832;0.341160986
Cenpa;0.017795205;0.280873828;0.520773433;0.239899605
Gng2;0.017895659;0.225997728;0.479113343;0.253115615
Il16;0.01790927;-0.18104631;0.150495952;0.331542261
Tmed3;0.018372506;0.273594425;0.852534745;0.57894032
Ncdn;0.018491249;-0.137685254;0.038524138;0.176209392
Commd6;0.018701363;0.165853057;0.327725437;0.161872381
Ppil1;0.019013889;0.179247807;0.309011026;0.129763219
Cd63;0.019383456;0.180635623;0.221828061;0.041192438
Rcsd1;0.019474637;0.205686997;0.421603228;0.215916232
Kctd5;0.019548722;-0.149527544;0.088793917;0.238321461
Marcks;0.019712972;0.151991999;0.236228865;0.084236866
Dapp1;0.019752193;-0.259017896;0.459545088;0.718562983
Gm26735;0.019935006;-0.152764862;0.081304236;0.234069097
Gtf3a;0.01997844;-0.261801996;0.459740846;0.721542842
Aurka;0.020049211;0.144208739;0.184547914;0.040339175
Alyref;0.020130031;0.180477762;0.357959342;0.17748158
Map3k4;0.020375762;-0.171744182;0.149600193;0.321344376
Zfp329;0.020414377;-0.167857818;0.096263268;0.264121086
Hmgn5;0.020527456;0.198035165;0.395600663;0.197565497
Mir142hg;0.020609732;-0.146272436;0.077911334;0.22418377
Flna;0.020611137;0.198773075;0.445024946;0.246251872
Mospd3;0.020713524;0.153457362;0.262632303;0.10917494
Oser1;0.021043263;0.150724605;0.232593784;0.08186918
Ppib;0.021097201;0.278465806;1.158341077;0.879875271
Snx3;0.021176621;0.271323836;0.816864327;0.54554049
Irf2bp2;0.021443399;-0.266760956;0.55874667;0.825507626
Glud1;0.021471439;0.185732107;0.374084188;0.188352081
Kif1bp;0.021515137;-0.129324827;0.048613914;0.177938741
Hn1;0.021734487;0.271615494;1.187845621;0.916230126
Mrps18a;0.022183558;0.167921139;0.316175682;0.148254542
Cdc20;0.022329358;0.157479456;0.239054723;0.081575268
